"","cells","clust_assign"
"mouse1_lib1.final_cell_0031","mouse1_lib1.final_cell_0031","2"
"mouse1_lib2.final_cell_0010","mouse1_lib2.final_cell_0010","2"
"mouse1_lib1.final_cell_0180","mouse1_lib1.final_cell_0180","1"
"mouse1_lib3.final_cell_0235","mouse1_lib3.final_cell_0235","2"
"mouse1_lib2.final_cell_0071","mouse1_lib2.final_cell_0071","2"
"mouse1_lib3.final_cell_0170","mouse1_lib3.final_cell_0170","3"
"mouse1_lib1.final_cell_0185","mouse1_lib1.final_cell_0185","2"
"mouse1_lib1.final_cell_0227","mouse1_lib1.final_cell_0227","2"
"mouse1_lib2.final_cell_0098","mouse1_lib2.final_cell_0098","1"
"mouse1_lib2.final_cell_0100","mouse1_lib2.final_cell_0100","2"
"mouse1_lib2.final_cell_0255","mouse1_lib2.final_cell_0255","1"
"mouse1_lib3.final_cell_0010","mouse1_lib3.final_cell_0010","2"
"mouse1_lib2.final_cell_0086","mouse1_lib2.final_cell_0086","1"
"mouse1_lib2.final_cell_0117","mouse1_lib2.final_cell_0117","2"
"mouse1_lib3.final_cell_0134","mouse1_lib3.final_cell_0134","2"
"mouse1_lib2.final_cell_0164","mouse1_lib2.final_cell_0164","1"
"mouse1_lib2.final_cell_0116","mouse1_lib2.final_cell_0116","1"
"mouse1_lib1.final_cell_0004","mouse1_lib1.final_cell_0004","2"
"mouse1_lib1.final_cell_0041","mouse1_lib1.final_cell_0041","1"
"mouse1_lib3.final_cell_0091","mouse1_lib3.final_cell_0091","2"
"mouse1_lib1.final_cell_0107","mouse1_lib1.final_cell_0107","2"
"mouse1_lib2.final_cell_0163","mouse1_lib2.final_cell_0163","1"
"mouse1_lib1.final_cell_0176","mouse1_lib1.final_cell_0176","2"
"mouse1_lib1.final_cell_0170","mouse1_lib1.final_cell_0170","1"
"mouse1_lib3.final_cell_0137","mouse1_lib3.final_cell_0137","1"
"mouse1_lib2.final_cell_0012","mouse1_lib2.final_cell_0012","2"
"mouse1_lib3.final_cell_0042","mouse1_lib3.final_cell_0042","3"
"mouse1_lib1.final_cell_0187","mouse1_lib1.final_cell_0187","3"
"mouse1_lib2.final_cell_0207","mouse1_lib2.final_cell_0207","1"
"mouse1_lib1.final_cell_0073","mouse1_lib1.final_cell_0073","3"
"mouse1_lib1.final_cell_0011","mouse1_lib1.final_cell_0011","2"
"mouse1_lib1.final_cell_0124","mouse1_lib1.final_cell_0124","1"
"mouse1_lib2.final_cell_0077","mouse1_lib2.final_cell_0077","2"
"mouse1_lib2.final_cell_0004","mouse1_lib2.final_cell_0004","1"
"mouse1_lib2.final_cell_0133","mouse1_lib2.final_cell_0133","1"
"mouse1_lib2.final_cell_0132","mouse1_lib2.final_cell_0132","3"
"mouse1_lib2.final_cell_0258","mouse1_lib2.final_cell_0258","3"
"mouse1_lib3.final_cell_0191","mouse1_lib3.final_cell_0191","1"
"mouse1_lib2.final_cell_0271","mouse1_lib2.final_cell_0271","2"
"mouse1_lib3.final_cell_0193","mouse1_lib3.final_cell_0193","1"
"mouse1_lib1.final_cell_0061","mouse1_lib1.final_cell_0061","1"
"mouse1_lib2.final_cell_0092","mouse1_lib2.final_cell_0092","1"
"mouse1_lib2.final_cell_0161","mouse1_lib2.final_cell_0161","1"
"mouse1_lib1.final_cell_0181","mouse1_lib1.final_cell_0181","1"
"mouse1_lib3.final_cell_0124","mouse1_lib3.final_cell_0124","1"
"mouse1_lib1.final_cell_0081","mouse1_lib1.final_cell_0081","2"
"mouse1_lib1.final_cell_0017","mouse1_lib1.final_cell_0017","1"
"mouse1_lib3.final_cell_0248","mouse1_lib3.final_cell_0248","3"
"mouse1_lib1.final_cell_0091","mouse1_lib1.final_cell_0091","1"
"mouse1_lib1.final_cell_0127","mouse1_lib1.final_cell_0127","2"
"mouse1_lib1.final_cell_0157","mouse1_lib1.final_cell_0157","3"
"mouse1_lib2.final_cell_0083","mouse1_lib2.final_cell_0083","2"
"mouse1_lib2.final_cell_0243","mouse1_lib2.final_cell_0243","1"
"mouse1_lib1.final_cell_0028","mouse1_lib1.final_cell_0028","2"
"mouse1_lib3.final_cell_0225","mouse1_lib3.final_cell_0225","1"
"mouse1_lib2.final_cell_0074","mouse1_lib2.final_cell_0074","1"
"mouse1_lib2.final_cell_0246","mouse1_lib2.final_cell_0246","1"
"mouse1_lib2.final_cell_0230","mouse1_lib2.final_cell_0230","1"
"mouse1_lib1.final_cell_0040","mouse1_lib1.final_cell_0040","1"
"mouse1_lib2.final_cell_0032","mouse1_lib2.final_cell_0032","1"
"mouse1_lib3.final_cell_0077","mouse1_lib3.final_cell_0077","1"
"mouse1_lib3.final_cell_0154","mouse1_lib3.final_cell_0154","2"
"mouse1_lib3.final_cell_0197","mouse1_lib3.final_cell_0197","2"
"mouse1_lib2.final_cell_0022","mouse1_lib2.final_cell_0022","2"
"mouse1_lib2.final_cell_0104","mouse1_lib2.final_cell_0104","1"
"mouse1_lib3.final_cell_0208","mouse1_lib3.final_cell_0208","1"
"mouse1_lib2.final_cell_0180","mouse1_lib2.final_cell_0180","1"
"mouse1_lib3.final_cell_0140","mouse1_lib3.final_cell_0140","1"
"mouse1_lib3.final_cell_0098","mouse1_lib3.final_cell_0098","1"
"mouse1_lib2.final_cell_0209","mouse1_lib2.final_cell_0209","1"
"mouse1_lib1.final_cell_0172","mouse1_lib1.final_cell_0172","1"
"mouse1_lib2.final_cell_0109","mouse1_lib2.final_cell_0109","1"
"mouse1_lib1.final_cell_0206","mouse1_lib1.final_cell_0206","1"
"mouse1_lib1.final_cell_0155","mouse1_lib1.final_cell_0155","2"
"mouse1_lib1.final_cell_0121","mouse1_lib1.final_cell_0121","1"
"mouse1_lib3.final_cell_0169","mouse1_lib3.final_cell_0169","3"
"mouse1_lib2.final_cell_0213","mouse1_lib2.final_cell_0213","1"
"mouse1_lib1.final_cell_0001","mouse1_lib1.final_cell_0001","1"
"mouse1_lib1.final_cell_0222","mouse1_lib1.final_cell_0222","2"
"mouse1_lib2.final_cell_0217","mouse1_lib2.final_cell_0217","2"
"mouse1_lib2.final_cell_0106","mouse1_lib2.final_cell_0106","2"
"mouse1_lib2.final_cell_0203","mouse1_lib2.final_cell_0203","1"
"mouse1_lib2.final_cell_0165","mouse1_lib2.final_cell_0165","2"
"mouse1_lib3.final_cell_0097","mouse1_lib3.final_cell_0097","1"
"mouse1_lib1.final_cell_0063","mouse1_lib1.final_cell_0063","2"
"mouse1_lib3.final_cell_0172","mouse1_lib3.final_cell_0172","1"
"mouse1_lib1.final_cell_0154","mouse1_lib1.final_cell_0154","1"
"mouse1_lib1.final_cell_0082","mouse1_lib1.final_cell_0082","2"
"mouse1_lib3.final_cell_0028","mouse1_lib3.final_cell_0028","2"
"mouse1_lib1.final_cell_0087","mouse1_lib1.final_cell_0087","2"
"mouse1_lib2.final_cell_0191","mouse1_lib2.final_cell_0191","1"
"mouse1_lib3.final_cell_0209","mouse1_lib3.final_cell_0209","2"
"mouse1_lib1.final_cell_0083","mouse1_lib1.final_cell_0083","1"
"mouse1_lib3.final_cell_0067","mouse1_lib3.final_cell_0067","2"
"mouse1_lib1.final_cell_0113","mouse1_lib1.final_cell_0113","1"
"mouse1_lib1.final_cell_0226","mouse1_lib1.final_cell_0226","1"
"mouse1_lib3.final_cell_0034","mouse1_lib3.final_cell_0034","2"
"mouse1_lib3.final_cell_0241","mouse1_lib3.final_cell_0241","2"
"mouse1_lib2.final_cell_0052","mouse1_lib2.final_cell_0052","2"
"mouse1_lib2.final_cell_0101","mouse1_lib2.final_cell_0101","1"
