"","cells","clust_assign"
"1","mouse1_lib2.final_cell_0226","1"
"2","mouse1_lib3.final_cell_0222","4"
"3","mouse1_lib1.final_cell_0174","2"
"4","mouse1_lib3.final_cell_0038","6"
"5","mouse1_lib1.final_cell_0265","4"
"6","mouse1_lib3.final_cell_0093","2"
"7","mouse1_lib2.final_cell_0289","4"
"8","mouse1_lib2.final_cell_0260","3"
"9","mouse1_lib3.final_cell_0226","2"
"10","mouse1_lib2.final_cell_0233","3"
"11","mouse1_lib1.final_cell_0241","6"
"12","mouse1_lib1.final_cell_0257","2"
"13","mouse1_lib1.final_cell_0207","4"
"14","mouse1_lib2.final_cell_0132","4"
"15","mouse1_lib1.final_cell_0261","3"
"16","mouse1_lib2.final_cell_0016","3"
"17","mouse1_lib3.final_cell_0149","3"
"18","mouse1_lib2.final_cell_0194","3"
"19","mouse1_lib3.final_cell_0077","2"
"20","mouse1_lib3.final_cell_0040","2"
"21","mouse1_lib3.final_cell_0004","6"
"22","mouse1_lib3.final_cell_0034","3"
"23","mouse1_lib2.final_cell_0122","2"
"24","mouse1_lib1.final_cell_0154","2"
"25","mouse1_lib2.final_cell_0037","6"
"26","mouse1_lib2.final_cell_0176","2"
"27","mouse1_lib3.final_cell_0161","3"
"28","mouse1_lib1.final_cell_0029","6"
"29","mouse1_lib2.final_cell_0084","2"
"30","mouse1_lib2.final_cell_0105","6"
"31","mouse1_lib2.final_cell_0158","4"
"32","mouse1_lib3.final_cell_0186","2"
"33","mouse1_lib2.final_cell_0274","1"
"34","mouse1_lib1.final_cell_0024","6"
"35","mouse1_lib1.final_cell_0076","3"
"36","mouse1_lib2.final_cell_0268","2"
"37","mouse1_lib2.final_cell_0168","3"
"38","mouse1_lib1.final_cell_0105","4"
"39","mouse1_lib2.final_cell_0096","6"
"40","mouse1_lib3.final_cell_0007","2"
"41","mouse1_lib1.final_cell_0083","1"
"42","mouse1_lib1.final_cell_0242","1"
"43","mouse1_lib1.final_cell_0036","3"
"44","mouse1_lib2.final_cell_0259","4"
"45","mouse1_lib2.final_cell_0162","1"
"46","mouse1_lib2.final_cell_0279","3"
"47","mouse1_lib3.final_cell_0123","6"
"48","mouse1_lib3.final_cell_0246","1"
"49","mouse1_lib2.final_cell_0087","2"
"50","mouse1_lib1.final_cell_0027","3"
"51","mouse1_lib2.final_cell_0245","4"
"52","mouse1_lib3.final_cell_0099","3"
"53","mouse1_lib1.final_cell_0032","3"
"54","mouse1_lib2.final_cell_0264","6"
"55","mouse1_lib3.final_cell_0154","3"
"56","mouse1_lib3.final_cell_0159","2"
"57","mouse1_lib1.final_cell_0053","3"
"58","mouse1_lib3.final_cell_0035","3"
"59","mouse1_lib1.final_cell_0007","5"
"60","mouse1_lib1.final_cell_0202","3"
"61","mouse1_lib1.final_cell_0123","6"
"62","mouse1_lib2.final_cell_0193","2"
"63","mouse1_lib1.final_cell_0046","2"
"64","mouse1_lib3.final_cell_0121","1"
"65","mouse1_lib2.final_cell_0220","3"
"66","mouse1_lib2.final_cell_0207","2"
"67","mouse1_lib1.final_cell_0008","5"
"68","mouse1_lib3.final_cell_0006","4"
"69","mouse1_lib2.final_cell_0244","6"
"70","mouse1_lib2.final_cell_0242","2"
"71","mouse1_lib1.final_cell_0192","3"
"72","mouse1_lib2.final_cell_0139","4"
"73","mouse1_lib2.final_cell_0248","4"
"74","mouse1_lib3.final_cell_0228","3"
"75","mouse1_lib1.final_cell_0082","3"
"76","mouse1_lib2.final_cell_0118","2"
"77","mouse1_lib3.final_cell_0171","2"
"78","mouse1_lib1.final_cell_0129","2"
"79","mouse1_lib2.final_cell_0229","1"
"80","mouse1_lib3.final_cell_0193","2"
"81","mouse1_lib3.final_cell_0133","1"
"82","mouse1_lib1.final_cell_0238","3"
"83","mouse1_lib2.final_cell_0250","3"
"84","mouse1_lib1.final_cell_0125","2"
"85","mouse1_lib3.final_cell_0049","2"
"86","mouse1_lib2.final_cell_0068","3"
"87","mouse1_lib3.final_cell_0225","4"
"88","mouse1_lib2.final_cell_0009","6"
"89","mouse1_lib3.final_cell_0039","2"
"90","mouse1_lib3.final_cell_0075","2"
"91","mouse1_lib3.final_cell_0119","3"
"92","mouse1_lib2.final_cell_0224","2"
"93","mouse1_lib3.final_cell_0143","2"
"94","mouse1_lib3.final_cell_0194","6"
"95","mouse1_lib1.final_cell_0100","4"
"96","mouse1_lib3.final_cell_0250","4"
"97","mouse1_lib3.final_cell_0003","3"
"98","mouse1_lib2.final_cell_0169","6"
"99","mouse1_lib1.final_cell_0068","2"
"100","mouse1_lib1.final_cell_0208","4"
