"","cells","clust_assign"
"mouse1_lib2.final_cell_0226","mouse1_lib2.final_cell_0226",2
"mouse1_lib3.final_cell_0222","mouse1_lib3.final_cell_0222",2
"mouse1_lib1.final_cell_0174","mouse1_lib1.final_cell_0174",1
"mouse1_lib3.final_cell_0038","mouse1_lib3.final_cell_0038",2
"mouse1_lib1.final_cell_0265","mouse1_lib1.final_cell_0265",2
"mouse1_lib3.final_cell_0093","mouse1_lib3.final_cell_0093",1
"mouse1_lib2.final_cell_0289","mouse1_lib2.final_cell_0289",2
"mouse1_lib2.final_cell_0260","mouse1_lib2.final_cell_0260",2
"mouse1_lib3.final_cell_0226","mouse1_lib3.final_cell_0226",1
"mouse1_lib2.final_cell_0233","mouse1_lib2.final_cell_0233",2
"mouse1_lib1.final_cell_0241","mouse1_lib1.final_cell_0241",1
"mouse1_lib1.final_cell_0257","mouse1_lib1.final_cell_0257",1
"mouse1_lib1.final_cell_0207","mouse1_lib1.final_cell_0207",2
"mouse1_lib2.final_cell_0132","mouse1_lib2.final_cell_0132",2
"mouse1_lib1.final_cell_0261","mouse1_lib1.final_cell_0261",2
"mouse1_lib2.final_cell_0016","mouse1_lib2.final_cell_0016",2
"mouse1_lib3.final_cell_0149","mouse1_lib3.final_cell_0149",2
"mouse1_lib2.final_cell_0194","mouse1_lib2.final_cell_0194",2
"mouse1_lib3.final_cell_0077","mouse1_lib3.final_cell_0077",1
"mouse1_lib3.final_cell_0040","mouse1_lib3.final_cell_0040",1
"mouse1_lib3.final_cell_0004","mouse1_lib3.final_cell_0004",2
"mouse1_lib3.final_cell_0034","mouse1_lib3.final_cell_0034",2
"mouse1_lib2.final_cell_0122","mouse1_lib2.final_cell_0122",1
"mouse1_lib1.final_cell_0154","mouse1_lib1.final_cell_0154",1
"mouse1_lib2.final_cell_0037","mouse1_lib2.final_cell_0037",1
"mouse1_lib2.final_cell_0176","mouse1_lib2.final_cell_0176",1
"mouse1_lib3.final_cell_0161","mouse1_lib3.final_cell_0161",2
"mouse1_lib1.final_cell_0029","mouse1_lib1.final_cell_0029",1
"mouse1_lib2.final_cell_0084","mouse1_lib2.final_cell_0084",1
"mouse1_lib2.final_cell_0105","mouse1_lib2.final_cell_0105",2
"mouse1_lib2.final_cell_0158","mouse1_lib2.final_cell_0158",2
"mouse1_lib3.final_cell_0186","mouse1_lib3.final_cell_0186",1
"mouse1_lib2.final_cell_0274","mouse1_lib2.final_cell_0274",2
"mouse1_lib1.final_cell_0024","mouse1_lib1.final_cell_0024",2
"mouse1_lib1.final_cell_0076","mouse1_lib1.final_cell_0076",2
"mouse1_lib2.final_cell_0268","mouse1_lib2.final_cell_0268",1
"mouse1_lib2.final_cell_0168","mouse1_lib2.final_cell_0168",2
"mouse1_lib1.final_cell_0105","mouse1_lib1.final_cell_0105",2
"mouse1_lib2.final_cell_0096","mouse1_lib2.final_cell_0096",1
"mouse1_lib3.final_cell_0007","mouse1_lib3.final_cell_0007",1
"mouse1_lib1.final_cell_0083","mouse1_lib1.final_cell_0083",2
"mouse1_lib1.final_cell_0242","mouse1_lib1.final_cell_0242",2
"mouse1_lib1.final_cell_0036","mouse1_lib1.final_cell_0036",2
"mouse1_lib2.final_cell_0259","mouse1_lib2.final_cell_0259",2
"mouse1_lib2.final_cell_0162","mouse1_lib2.final_cell_0162",2
"mouse1_lib2.final_cell_0279","mouse1_lib2.final_cell_0279",2
"mouse1_lib3.final_cell_0123","mouse1_lib3.final_cell_0123",2
"mouse1_lib3.final_cell_0246","mouse1_lib3.final_cell_0246",2
"mouse1_lib2.final_cell_0087","mouse1_lib2.final_cell_0087",1
"mouse1_lib1.final_cell_0027","mouse1_lib1.final_cell_0027",2
"mouse1_lib2.final_cell_0245","mouse1_lib2.final_cell_0245",2
"mouse1_lib3.final_cell_0099","mouse1_lib3.final_cell_0099",2
"mouse1_lib1.final_cell_0032","mouse1_lib1.final_cell_0032",2
"mouse1_lib2.final_cell_0264","mouse1_lib2.final_cell_0264",1
"mouse1_lib3.final_cell_0154","mouse1_lib3.final_cell_0154",2
"mouse1_lib3.final_cell_0159","mouse1_lib3.final_cell_0159",1
"mouse1_lib1.final_cell_0053","mouse1_lib1.final_cell_0053",2
"mouse1_lib3.final_cell_0035","mouse1_lib3.final_cell_0035",2
"mouse1_lib1.final_cell_0007","mouse1_lib1.final_cell_0007",1
"mouse1_lib1.final_cell_0202","mouse1_lib1.final_cell_0202",2
"mouse1_lib1.final_cell_0123","mouse1_lib1.final_cell_0123",1
"mouse1_lib2.final_cell_0193","mouse1_lib2.final_cell_0193",1
"mouse1_lib1.final_cell_0046","mouse1_lib1.final_cell_0046",1
"mouse1_lib3.final_cell_0121","mouse1_lib3.final_cell_0121",2
"mouse1_lib2.final_cell_0220","mouse1_lib2.final_cell_0220",2
"mouse1_lib2.final_cell_0207","mouse1_lib2.final_cell_0207",1
"mouse1_lib1.final_cell_0008","mouse1_lib1.final_cell_0008",1
"mouse1_lib3.final_cell_0006","mouse1_lib3.final_cell_0006",2
"mouse1_lib2.final_cell_0244","mouse1_lib2.final_cell_0244",2
"mouse1_lib2.final_cell_0242","mouse1_lib2.final_cell_0242",1
"mouse1_lib1.final_cell_0192","mouse1_lib1.final_cell_0192",2
"mouse1_lib2.final_cell_0139","mouse1_lib2.final_cell_0139",2
"mouse1_lib2.final_cell_0248","mouse1_lib2.final_cell_0248",2
"mouse1_lib3.final_cell_0228","mouse1_lib3.final_cell_0228",2
"mouse1_lib1.final_cell_0082","mouse1_lib1.final_cell_0082",2
"mouse1_lib2.final_cell_0118","mouse1_lib2.final_cell_0118",1
"mouse1_lib3.final_cell_0171","mouse1_lib3.final_cell_0171",1
"mouse1_lib1.final_cell_0129","mouse1_lib1.final_cell_0129",1
"mouse1_lib2.final_cell_0229","mouse1_lib2.final_cell_0229",2
"mouse1_lib3.final_cell_0193","mouse1_lib3.final_cell_0193",1
"mouse1_lib3.final_cell_0133","mouse1_lib3.final_cell_0133",2
"mouse1_lib1.final_cell_0238","mouse1_lib1.final_cell_0238",2
"mouse1_lib2.final_cell_0250","mouse1_lib2.final_cell_0250",2
"mouse1_lib1.final_cell_0125","mouse1_lib1.final_cell_0125",1
"mouse1_lib3.final_cell_0049","mouse1_lib3.final_cell_0049",1
"mouse1_lib2.final_cell_0068","mouse1_lib2.final_cell_0068",2
"mouse1_lib3.final_cell_0225","mouse1_lib3.final_cell_0225",2
"mouse1_lib2.final_cell_0009","mouse1_lib2.final_cell_0009",2
"mouse1_lib3.final_cell_0039","mouse1_lib3.final_cell_0039",1
"mouse1_lib3.final_cell_0075","mouse1_lib3.final_cell_0075",1
"mouse1_lib3.final_cell_0119","mouse1_lib3.final_cell_0119",2
"mouse1_lib2.final_cell_0224","mouse1_lib2.final_cell_0224",1
"mouse1_lib3.final_cell_0143","mouse1_lib3.final_cell_0143",1
