"","cells","clust_assign"
"mouse1_lib2.final_cell_0226","mouse1_lib2.final_cell_0226","0"
"mouse1_lib3.final_cell_0222","mouse1_lib3.final_cell_0222","0"
"mouse1_lib1.final_cell_0174","mouse1_lib1.final_cell_0174","0"
"mouse1_lib3.final_cell_0038","mouse1_lib3.final_cell_0038","0"
"mouse1_lib1.final_cell_0265","mouse1_lib1.final_cell_0265","0"
"mouse1_lib3.final_cell_0093","mouse1_lib3.final_cell_0093","0"
"mouse1_lib2.final_cell_0289","mouse1_lib2.final_cell_0289","0"
"mouse1_lib2.final_cell_0260","mouse1_lib2.final_cell_0260","1"
"mouse1_lib3.final_cell_0226","mouse1_lib3.final_cell_0226","0"
"mouse1_lib2.final_cell_0233","mouse1_lib2.final_cell_0233","1"
"mouse1_lib1.final_cell_0241","mouse1_lib1.final_cell_0241","0"
"mouse1_lib1.final_cell_0257","mouse1_lib1.final_cell_0257","0"
"mouse1_lib1.final_cell_0207","mouse1_lib1.final_cell_0207","0"
"mouse1_lib2.final_cell_0132","mouse1_lib2.final_cell_0132","1"
"mouse1_lib1.final_cell_0261","mouse1_lib1.final_cell_0261","1"
"mouse1_lib2.final_cell_0016","mouse1_lib2.final_cell_0016","1"
"mouse1_lib3.final_cell_0149","mouse1_lib3.final_cell_0149","1"
"mouse1_lib2.final_cell_0194","mouse1_lib2.final_cell_0194","1"
"mouse1_lib3.final_cell_0077","mouse1_lib3.final_cell_0077","0"
"mouse1_lib3.final_cell_0040","mouse1_lib3.final_cell_0040","0"
"mouse1_lib3.final_cell_0004","mouse1_lib3.final_cell_0004","0"
"mouse1_lib3.final_cell_0034","mouse1_lib3.final_cell_0034","1"
"mouse1_lib2.final_cell_0122","mouse1_lib2.final_cell_0122","0"
"mouse1_lib1.final_cell_0154","mouse1_lib1.final_cell_0154","0"
"mouse1_lib2.final_cell_0037","mouse1_lib2.final_cell_0037","0"
"mouse1_lib2.final_cell_0176","mouse1_lib2.final_cell_0176","0"
"mouse1_lib3.final_cell_0161","mouse1_lib3.final_cell_0161","1"
"mouse1_lib1.final_cell_0029","mouse1_lib1.final_cell_0029","0"
"mouse1_lib2.final_cell_0084","mouse1_lib2.final_cell_0084","0"
"mouse1_lib2.final_cell_0105","mouse1_lib2.final_cell_0105","0"
"mouse1_lib2.final_cell_0158","mouse1_lib2.final_cell_0158","0"
"mouse1_lib3.final_cell_0186","mouse1_lib3.final_cell_0186","0"
"mouse1_lib2.final_cell_0274","mouse1_lib2.final_cell_0274","0"
"mouse1_lib1.final_cell_0024","mouse1_lib1.final_cell_0024","0"
"mouse1_lib1.final_cell_0076","mouse1_lib1.final_cell_0076","1"
"mouse1_lib2.final_cell_0268","mouse1_lib2.final_cell_0268","0"
"mouse1_lib2.final_cell_0168","mouse1_lib2.final_cell_0168","1"
"mouse1_lib1.final_cell_0105","mouse1_lib1.final_cell_0105","0"
"mouse1_lib2.final_cell_0096","mouse1_lib2.final_cell_0096","0"
"mouse1_lib3.final_cell_0007","mouse1_lib3.final_cell_0007","0"
"mouse1_lib1.final_cell_0083","mouse1_lib1.final_cell_0083","0"
"mouse1_lib1.final_cell_0242","mouse1_lib1.final_cell_0242","0"
"mouse1_lib1.final_cell_0036","mouse1_lib1.final_cell_0036","1"
"mouse1_lib2.final_cell_0259","mouse1_lib2.final_cell_0259","0"
"mouse1_lib2.final_cell_0162","mouse1_lib2.final_cell_0162","0"
"mouse1_lib2.final_cell_0279","mouse1_lib2.final_cell_0279","1"
"mouse1_lib3.final_cell_0123","mouse1_lib3.final_cell_0123","0"
"mouse1_lib3.final_cell_0246","mouse1_lib3.final_cell_0246","0"
"mouse1_lib2.final_cell_0087","mouse1_lib2.final_cell_0087","0"
"mouse1_lib1.final_cell_0027","mouse1_lib1.final_cell_0027","1"
"mouse1_lib2.final_cell_0245","mouse1_lib2.final_cell_0245","1"
"mouse1_lib3.final_cell_0099","mouse1_lib3.final_cell_0099","1"
"mouse1_lib1.final_cell_0032","mouse1_lib1.final_cell_0032","1"
"mouse1_lib2.final_cell_0264","mouse1_lib2.final_cell_0264","0"
"mouse1_lib3.final_cell_0154","mouse1_lib3.final_cell_0154","1"
"mouse1_lib3.final_cell_0159","mouse1_lib3.final_cell_0159","0"
"mouse1_lib1.final_cell_0053","mouse1_lib1.final_cell_0053","1"
"mouse1_lib3.final_cell_0035","mouse1_lib3.final_cell_0035","1"
"mouse1_lib1.final_cell_0007","mouse1_lib1.final_cell_0007","0"
"mouse1_lib1.final_cell_0202","mouse1_lib1.final_cell_0202","1"
"mouse1_lib1.final_cell_0123","mouse1_lib1.final_cell_0123","0"
"mouse1_lib2.final_cell_0193","mouse1_lib2.final_cell_0193","0"
"mouse1_lib1.final_cell_0046","mouse1_lib1.final_cell_0046","0"
"mouse1_lib3.final_cell_0121","mouse1_lib3.final_cell_0121","0"
"mouse1_lib2.final_cell_0220","mouse1_lib2.final_cell_0220","1"
"mouse1_lib2.final_cell_0207","mouse1_lib2.final_cell_0207","0"
"mouse1_lib1.final_cell_0008","mouse1_lib1.final_cell_0008","0"
"mouse1_lib3.final_cell_0006","mouse1_lib3.final_cell_0006","1"
"mouse1_lib2.final_cell_0244","mouse1_lib2.final_cell_0244","0"
"mouse1_lib2.final_cell_0242","mouse1_lib2.final_cell_0242","0"
"mouse1_lib1.final_cell_0192","mouse1_lib1.final_cell_0192","1"
"mouse1_lib2.final_cell_0139","mouse1_lib2.final_cell_0139","0"
"mouse1_lib2.final_cell_0248","mouse1_lib2.final_cell_0248","0"
"mouse1_lib3.final_cell_0228","mouse1_lib3.final_cell_0228","1"
"mouse1_lib1.final_cell_0082","mouse1_lib1.final_cell_0082","1"
"mouse1_lib2.final_cell_0118","mouse1_lib2.final_cell_0118","0"
"mouse1_lib3.final_cell_0171","mouse1_lib3.final_cell_0171","0"
"mouse1_lib1.final_cell_0129","mouse1_lib1.final_cell_0129","0"
"mouse1_lib2.final_cell_0229","mouse1_lib2.final_cell_0229","0"
"mouse1_lib3.final_cell_0193","mouse1_lib3.final_cell_0193","0"
"mouse1_lib3.final_cell_0133","mouse1_lib3.final_cell_0133","0"
"mouse1_lib1.final_cell_0238","mouse1_lib1.final_cell_0238","1"
"mouse1_lib2.final_cell_0250","mouse1_lib2.final_cell_0250","1"
"mouse1_lib1.final_cell_0125","mouse1_lib1.final_cell_0125","0"
"mouse1_lib3.final_cell_0049","mouse1_lib3.final_cell_0049","0"
"mouse1_lib2.final_cell_0068","mouse1_lib2.final_cell_0068","1"
"mouse1_lib3.final_cell_0225","mouse1_lib3.final_cell_0225","0"
"mouse1_lib2.final_cell_0009","mouse1_lib2.final_cell_0009","0"
"mouse1_lib3.final_cell_0039","mouse1_lib3.final_cell_0039","0"
"mouse1_lib3.final_cell_0075","mouse1_lib3.final_cell_0075","0"
"mouse1_lib3.final_cell_0119","mouse1_lib3.final_cell_0119","1"
"mouse1_lib2.final_cell_0224","mouse1_lib2.final_cell_0224","0"
"mouse1_lib3.final_cell_0143","mouse1_lib3.final_cell_0143","0"
"mouse1_lib3.final_cell_0194","mouse1_lib3.final_cell_0194","0"
"mouse1_lib1.final_cell_0100","mouse1_lib1.final_cell_0100","1"
"mouse1_lib3.final_cell_0250","mouse1_lib3.final_cell_0250","0"
"mouse1_lib3.final_cell_0003","mouse1_lib3.final_cell_0003","1"
"mouse1_lib2.final_cell_0169","mouse1_lib2.final_cell_0169","0"
"mouse1_lib1.final_cell_0068","mouse1_lib1.final_cell_0068","0"
"mouse1_lib1.final_cell_0208","mouse1_lib1.final_cell_0208","1"
