"","cells","clust_assign"
"1",1,1
"2",2,1
"3",3,2
"4",4,1
"5",5,2
"6",6,2
"7",7,1
"8",8,1
"9",9,2
"10",10,1
"11",11,2
"12",12,2
"13",13,1
"14",14,1
"15",15,1
"16",16,1
"17",17,1
"18",18,1
"19",19,2
"20",20,2
"21",21,1
"22",22,1
"23",23,2
"24",24,2
"25",25,2
"26",26,2
"27",27,1
"28",28,2
"29",29,2
"30",30,1
"31",31,1
"32",32,2
"33",33,1
"34",34,1
"35",35,1
"36",36,2
"37",37,1
"38",38,1
"39",39,2
"40",40,2
"41",41,1
"42",42,1
"43",43,1
"44",44,1
"45",45,1
"46",46,1
"47",47,1
"48",48,1
"49",49,2
"50",50,1
"51",51,1
"52",52,1
"53",53,1
"54",54,2
"55",55,1
"56",56,2
"57",57,1
"58",58,1
"59",59,2
"60",60,1
"61",61,2
"62",62,2
"63",63,2
"64",64,1
"65",65,1
"66",66,2
"67",67,2
"68",68,1
"69",69,1
"70",70,2
"71",71,1
"72",72,1
"73",73,1
"74",74,1
"75",75,1
"76",76,2
"77",77,2
"78",78,2
"79",79,1
"80",80,2
"81",81,1
"82",82,1
"83",83,2
"84",84,2
"85",85,2
"86",86,1
"87",87,1
"88",88,1
"89",89,2
"90",90,2
"91",91,1
"92",92,2
"93",93,2
"94",94,2
"95",95,1
"96",96,1
"97",97,1
"98",98,2
"99",99,2
"100",100,1
